,Crop_Type,Crop,N,P,K,pH,rainfall,temperature,Area_in_hectares,Production_in_tons,target 
2357,rabi,wheat,60,30,30,6.3,70.11,25.6,17200,5400,0.313953488
2358,whole year,cotton,120,40,20,5.68,714.68,26.45454545,1401,62100,44.3254818
2359,kharif,jowar,80,40,40,5.44,607.48,26.36666667,160700,116200,0.723086497
2360,kharif,maize,80,40,20,5.52,607.48,26.36666667,500,600,1.2
2361,kharif,moong,20,40,20,5.34,607.48,26.36666667,47800,16100,0.336820084
2362,kharif,rice,80,40,40,5.36,607.48,26.36666667,6700,3800,0.567164179
2363,rabi,wheat,60,30,30,6.8,70.11,25.6,18600,8700,0.467741935
2364,whole year,cotton,120,40,20,5.48,714.68,26.45454545,4453,184300,41.38782843
2365,kharif,onion,120,60,65,6.02,702.459,27.23333333,2,5,2.5
2366,kharif,rice,80,40,40,5.62,702.459,27.23333333,17,40,2.352941176
2367,kharif,maize,80,40,20,5.38,702.459,27.23333333,2,4,2
2368,kharif,rice,80,40,40,5.62,702.459,27.23333333,7,9,1.285714286
2369,whole year,banana,100,75,50,6.62,1350.025,26.01818182,1,12,12
2370,kharif,maize,80,40,20,5.58,702.459,27.23333333,1,3,3
2371,kharif,rice,80,40,40,5.6,702.459,27.23333333,14,27,1.928571429
2372,kharif,rice,80,40,40,5.4,702.459,27.23333333,26,62,2.384615385
2373,kharif,rice,80,40,40,5.32,702.459,27.23333333,16,43,2.6875
2374,kharif,maize,80,40,20,5.36,702.459,27.23333333,1,8,8
2375,kharif,rice,80,40,40,5.32,702.459,27.23333333,23,47,2.043478261
2376,kharif,maize,80,40,20,5.56,702.459,27.23333333,2,8,4
2377,kharif,rice,80,40,40,5.68,702.459,27.23333333,9,10,1.111111111
2378,kharif,soyabean,20,60,20,5.62,702.459,27.23333333,5,7,1.4
2379,kharif,rice,80,40,40,5.6,702.459,27.23333333,28,79,2.821428571
2380,kharif,rice,80,40,40,5.54,702.459,27.23333333,15,31,2.066666667
2381,whole year,turmeric,25,60,100,5.1,1350.025,26.01818182,7,4,0.571428571
2382,kharif,cotton,120,40,20,5.56,423.745,22.07,2720,1960,0.720588235
2383,kharif,jute,80,40,40,5.38,423.745,22.07,312,2916,9.346153846
2384,kharif,maize,80,40,20,5.64,423.745,22.07,1090,1362,1.249541284
2385,kharif,rice,80,40,40,5.56,423.745,22.07,17301,22730,1.31379689
2386,kharif,sesamum,30,15,30,6.44,423.745,22.07,295,147,0.498305085
2387,kharif,soyabean,20,60,20,5.62,423.745,22.07,138,136,0.985507246
2388,rabi,rapeseed,50,40,20,5.18,56.236,15.852,749,355,0.473965287
2389,rabi,wheat,60,30,30,6.8,56.236,15.852,72,83,1.152777778
2390,whole year,arecanut,100,40,140,5.88,1050.245,18.77818182,793,749,0.944514502
2391,whole year,banana,100,75,50,6.34,1050.245,18.77818182,1075,13310,12.38139535
2392,whole year,potato,180,60,90,5.14,1050.245,18.77818182,101,795,7.871287129
2393,whole year,sweetpotato,90,20,120,4.92,1050.245,18.77818182,251,782,3.115537849
2394,whole year,tapioca,50,50,50,5.34,1050.245,18.77818182,1470,7319,4.978911565
2395,whole year,turmeric,25,60,100,5.02,1050.245,18.77818182,100,556,5.56
2396,kharif,maize,80,40,20,5.68,423.745,22.07,2866,3258,1.136775994
2397,kharif,rice,80,40,40,5.36,423.745,22.07,16442,26991,1.641588615
2398,kharif,sesamum,30,15,30,6.6,423.745,22.07,34,17,0.5
2399,kharif,soyabean,20,60,20,5.32,423.745,22.07,389,388,0.997429306
2400,rabi,rapeseed,50,40,20,5.14,56.236,15.852,11,7,0.636363636
2401,whole year,arecanut,100,40,140,6.1,1050.245,18.77818182,1525,3060,2.006557377
2402,whole year,banana,100,75,50,6.4,1050.245,18.77818182,309,1241,4.01618123
2403,whole year,potato,180,60,90,4.9,1050.245,18.77818182,344,2862,8.319767442
2404,whole year,sweetpotato,90,20,120,5.16,1050.245,18.77818182,1988,5709,2.871730382
2405,whole year,tapioca,50,50,50,5.64,1050.245,18.77818182,27,387,14.33333333
2406,whole year,turmeric,25,60,100,5.06,1050.245,18.77818182,820,4076,4.970731707
2407,kharif,maize,80,40,20,5.46,423.745,22.07,1847,3131,1.695181375
2408,kharif,rice,80,40,40,5.44,423.745,22.07,5160,7690,1.490310078
2409,kharif,sesamum,30,15,30,6.34,423.745,22.07,32,13,0.40625
2410,kharif,soyabean,20,60,20,5.44,423.745,22.07,167,143,0.856287425
2411,rabi,rapeseed,50,40,20,5.08,56.236,15.852,58,35,0.603448276
2412,whole year,arecanut,100,40,140,6.06,1050.245,18.77818182,4549,4550,1.000219829
2413,whole year,banana,100,75,50,6.54,1050.245,18.77818182,650,8614,13.25230769
2414,whole year,potato,180,60,90,4.98,1050.245,18.77818182,11873,121108,10.20028636
2415,whole year,sweetpotato,90,20,120,4.86,1050.245,18.77818182,880,3212,3.65
2416,whole year,tapioca,50,50,50,5.48,1050.245,18.77818182,388,2140,5.515463918
2417,whole year,turmeric,25,60,100,5.08,1050.245,18.77818182,55,360,6.545454545
2418,kharif,maize,80,40,20,5.36,423.745,22.07,1912,4208,2.20083682
2419,kharif,rice,80,40,40,5.54,423.745,22.07,11837,15914,1.344428487
2420,kharif,sesamum,30,15,30,6.4,423.745,22.07,3,3,1
2421,kharif,soyabean,20,60,20,5.4,423.745,22.07,30,26,0.866666667
2422,rabi,rapeseed,50,40,20,4.92,56.236,15.852,42,26,0.619047619
2423,whole year,arecanut,100,40,140,6.06,1050.245,18.77818182,28,18,0.642857143
2424,whole year,banana,100,75,50,6.44,1050.245,18.77818182,772,13930,18.04404145
2425,whole year,potato,180,60,90,4.98,1050.245,18.77818182,23,221,9.608695652
2426,whole year,sweetpotato,90,20,120,4.92,1050.245,18.77818182,189,494,2.613756614
2427,whole year,tapioca,50,50,50,5.34,1050.245,18.77818182,15,70,4.666666667
2428,whole year,turmeric,25,60,100,5.08,1050.245,18.77818182,34,153,4.5
2429,kharif,cotton,120,40,20,5.56,423.745,22.07,321,299,0.931464174
2430,kharif,jute,80,40,40,5.52,423.745,22.07,380,2984,7.852631579
2431,kharif,maize,80,40,20,5.5,423.745,22.07,871,881,1.011481056
2432,kharif,rice,80,40,40,5.56,423.745,22.07,9086,9231,1.015958618
2433,kharif,sesamum,30,15,30,6.54,423.745,22.07,175,91,0.52
2434,kharif,soyabean,20,60,20,5.62,423.745,22.07,7,10,1.428571429
2435,rabi,rapeseed,50,40,20,4.86,56.236,15.852,257,176,0.684824903
2436,whole year,arecanut,100,40,140,6.02,1050.245,18.77818182,242,334,1.380165289
2437,whole year,banana,100,75,50,6.56,1050.245,18.77818182,258,3203,12.41472868
2438,whole year,potato,180,60,90,5.12,1050.245,18.77818182,30,235,7.833333333
2439,whole year,sweetpotato,90,20,120,4.84,1050.245,18.77818182,114,377,3.307017544
2440,whole year,tapioca,50,50,50,5.46,1050.245,18.77818182,292,1632,5.589041096
2441,whole year,turmeric,25,60,100,5.12,1050.245,18.77818182,64,320,5
2442,kharif,cotton,120,40,20,5.64,423.745,22.07,4503,3331,0.73972907
2443,kharif,jute,80,40,40,5.5,423.745,22.07,3551,28783,8.105604055
2444,kharif,maize,80,40,20,5.66,423.745,22.07,3985,5656,1.419322459
2445,kharif,rice,80,40,40,5.56,423.745,22.07,35922,55206,1.536829798
2446,kharif,sesamum,30,15,30,6.46,423.745,22.07,773,409,0.529107374
2447,kharif,soyabean,20,60,20,5.36,423.745,22.07,117,80,0.683760684
2448,rabi,rapeseed,50,40,20,5.16,56.236,15.852,5766,3850,0.667707249
2449,rabi,wheat,60,30,30,6.1,56.236,15.852,4215,6811,1.615895611
2450,whole year,arecanut,100,40,140,6.16,1050.245,18.77818182,2406,3370,1.400665004
2451,whole year,banana,100,75,50,6.6,1050.245,18.77818182,1510,18776,12.43443709
2452,whole year,potato,180,60,90,4.88,1050.245,18.77818182,386,2945,7.629533679
2453,whole year,sweetpotato,90,20,120,4.94,1050.245,18.77818182,471,1566,3.324840764
2454,whole year,tapioca,50,50,50,5.46,1050.245,18.77818182,1128,6280,5.567375887
2455,whole year,turmeric,25,60,100,5.14,1050.245,18.77818182,313,1565,5
2456,kharif,maize,80,40,20,5.46,423.745,22.07,4604,6382,1.386185925
2457,kharif,rice,80,40,40,5.66,423.745,22.07,9422,12339,1.309594566
2458,kharif,sesamum,30,15,30,6.68,423.745,22.07,14,8,0.571428571
2459,kharif,soyabean,20,60,20,5.58,423.745,22.07,50,31,0.62
2460,rabi,rapeseed,50,40,20,5,56.236,15.852,31,18,0.580645161
2461,whole year,arecanut,100,40,140,5.96,1050.245,18.77818182,26,35,1.346153846
2462,whole year,banana,100,75,50,6.66,1050.245,18.77818182,665,3937,5.920300752
2463,whole year,potato,180,60,90,4.9,1050.245,18.77818182,8007,72343,9.034969402
2464,whole year,sweetpotato,90,20,120,4.9,1050.245,18.77818182,1319,4838,3.66793025
2465,whole year,tapioca,50,50,50,5.56,1050.245,18.77818182,639,3259,5.100156495
2466,whole year,turmeric,25,60,100,4.9,1050.245,18.77818182,15,96,6.4
2467,kharif,maize,80,40,20,5.38,235.4251,26.64666667,4128,8141,1.972141473
2468,kharif,rapeseed,50,40,20,4.98,235.4251,26.64666667,304,316,1.039473684
2469,kharif,sesamum,30,15,30,6.66,235.4251,26.64666667,1368,1270,0.928362573
2470,kharif,soyabean,20,60,20,5.42,235.4251,26.64666667,563,809,1.436944938
2471,rabi,rapeseed,50,40,20,5,85.24316,21.482,145,146,1.006896552
2472,rabi,wheat,60,30,30,6.8,85.24316,21.482,22,11,0.5
2473,whole year,rice,80,40,40,5.62,742.0124,24.59818182,30274,50241,1.659542842
2474,whole year,tapioca,50,50,50,5.66,742.0124,24.59818182,255,5981,23.45490196
2475,kharif,maize,80,40,20,5.34,235.4251,26.64666667,1104,2760,2.5
2476,kharif,rapeseed,50,40,20,4.82,235.4251,26.64666667,50,56,1.12
2477,kharif,sesamum,30,15,30,6.48,235.4251,26.64666667,489,543,1.110429448
2478,kharif,soyabean,20,60,20,5.56,235.4251,26.64666667,36,40,1.111111111
2479,kharif,sunflower,50,60,30,5.68,235.4251,26.64666667,4,4,1
2480,rabi,maize,80,40,20,5.58,85.24316,21.482,10,23,2.3
2481,whole year,rice,80,40,40,5.34,742.0124,24.59818182,6002,9252,1.541486171
2482,whole year,tapioca,50,50,50,5.64,742.0124,24.59818182,53,310,5.849056604
2483,kharif,maize,80,40,20,5.48,235.4251,26.64666667,1863,2972,1.595276436
2484,kharif,sesamum,30,15,30,6.66,235.4251,26.64666667,2010,2340,1.164179104
2485,kharif,soyabean,20,60,20,5.34,235.4251,26.64666667,250,480,1.92
2486,rabi,maize,80,40,20,5.54,85.24316,21.482,110,220,2
2487,rabi,rapeseed,50,40,20,5,85.24316,21.482,1950,1194,0.612307692
2488,whole year,rice,80,40,40,5.44,742.0124,24.59818182,17326,28675,1.655027127
2489,whole year,tapioca,50,50,50,5.44,742.0124,24.59818182,90,185,2.055555556
2490,kharif,maize,80,40,20,5.4,235.4251,26.64666667,1045,2383,2.280382775
2491,kharif,rapeseed,50,40,20,4.82,235.4251,26.64666667,20,68,3.4
2492,kharif,sesamum,30,15,30,6.38,235.4251,26.64666667,725,290,0.4
2493,kharif,soyabean,20,60,20,5.66,235.4251,26.64666667,190,285,1.5
2494,kharif,sunflower,50,60,30,5.38,235.4251,26.64666667,2,3,1.5
2495,whole year,rice,80,40,40,5.52,742.0124,24.59818182,14512,22405,1.543894708
2496,whole year,tapioca,50,50,50,5.52,742.0124,24.59818182,80,480,6
2497,kharif,maize,80,40,20,5.42,207.55,26.43333333,4400,4400,1
2498,kharif,rice,80,40,40,5.68,207.55,26.43333333,27620,37250,1.348660391
2499,rabi,rice,80,40,40,5.36,70.598,18.92,150,180,1.2
2500,kharif,jowar,80,40,40,5.62,207.55,26.43333333,50,40,0.8
2501,kharif,maize,80,40,20,5.66,207.55,26.43333333,2900,2800,0.965517241
2502,kharif,rice,80,40,40,5.52,207.55,26.43333333,21320,26700,1.252345216
2503,kharif,jowar,80,40,40,5.46,207.55,26.43333333,300,210,0.7
2504,kharif,maize,80,40,20,5.58,207.55,26.43333333,3250,3250,1
2505,kharif,rice,80,40,40,5.62,207.55,26.43333333,17550,22740,1.295726496
2506,kharif,maize,80,40,20,5.64,207.55,26.43333333,5900,6000,1.016949153
2507,kharif,rice,80,40,40,5.68,207.55,26.43333333,24710,33350,1.34965601
2508,kharif,jowar,80,40,40,5.38,207.55,26.43333333,250,170,0.68
2509,kharif,maize,80,40,20,5.66,207.55,26.43333333,4150,4150,1
2510,kharif,rice,80,40,40,5.54,207.55,26.43333333,15680,20000,1.275510204
2511,kharif,jowar,80,40,40,5.32,207.55,26.43333333,100,70,0.7
2512,kharif,maize,80,40,20,5.66,207.55,26.43333333,4300,4300,1
2513,kharif,rice,80,40,40,5.54,207.55,26.43333333,23670,30460,1.286861005
2514,rabi,rice,80,40,40,5.44,70.598,18.92,50,70,1.4
2515,kharif,jowar,80,40,40,5.44,207.55,26.43333333,150,100,0.666666667
2516,kharif,maize,80,40,20,5.46,207.55,26.43333333,5100,5100,1
2517,kharif,rice,80,40,40,5.64,207.55,26.43333333,14450,17500,1.211072664
2518,kharif,maize,80,40,20,5.38,1145.22,28.5,948,675,0.712025316
2519,kharif,ragi,50,40,20,5.62,1145.22,28.5,46,25,0.543478261
2520,kharif,sesamum,30,15,30,6.54,1145.22,28.5,1307,385,0.294567712
2521,rabi,wheat,60,30,30,6.7,167.38,23.56,94,67,0.712765957
2522,summer,maize,80,40,20,5.4,113.7,30.26666667,17,14,0.823529412
2523,summer,sesamum,30,15,30,6.46,113.7,30.26666667,790,187,0.236708861
2524,whole year,potato,180,60,90,4.9,1426.3,26.73636364,524,4122,7.866412214
2525,rabi,horsegram,20,60,20,5.96,167.38,23.56,5955,1476,0.247858942
2526,rabi,maize,80,40,20,5.6,167.38,23.56,9,10,1.111111111
2527,rabi,sesamum,30,15,30,6.54,167.38,23.56,5536,919,0.166004335
2528,kharif,jute,80,40,40,5.36,1145.22,28.5,450,520,1.155555556
2529,kharif,maize,80,40,20,5.64,1145.22,28.5,852,547,0.642018779
2530,kharif,ragi,50,40,20,5.38,1145.22,28.5,2567,1242,0.483833268
2531,kharif,sesamum,30,15,30,6.58,1145.22,28.5,3872,693,0.178977273
2532,rabi,wheat,60,30,30,6.3,167.38,23.56,85,54,0.635294118
2533,summer,horsegram,20,60,20,6.14,113.7,30.26666667,3,1,0.333333333
2534,summer,maize,80,40,20,5.46,113.7,30.26666667,1,1,1
2535,summer,ragi,50,40,20,5.44,113.7,30.26666667,5,4,0.8
2536,summer,sesamum,30,15,30,6.52,113.7,30.26666667,110,24,0.218181818
2537,whole year,potato,180,60,90,5.08,1426.3,26.73636364,66,579,8.772727273
2538,rabi,horsegram,20,60,20,6,167.38,23.56,27485,6706,0.24398763
2539,rabi,maize,80,40,20,5.32,167.38,23.56,4,2,0.5
2540,rabi,ragi,50,40,20,5.5,167.38,23.56,4,1,0.25
2541,rabi,sesamum,30,15,30,6.52,167.38,23.56,2308,219,0.094887348
2542,kharif,jute,80,40,40,5.5,1145.22,28.5,3650,3020,0.82739726
2543,kharif,maize,80,40,20,5.32,1145.22,28.5,3,2,0.666666667
2544,rabi,wheat,60,30,30,6.9,167.38,23.56,40,36,0.9
2545,summer,sesamum,30,15,30,6.46,113.7,30.26666667,644,126,0.195652174
2546,whole year,potato,180,60,90,4.98,1426.3,26.73636364,204,2462,12.06862745
2547,rabi,horsegram,20,60,20,5.84,167.38,23.56,6,2,0.333333333
2548,kharif,maize,80,40,20,5.36,1145.22,28.5,38,26,0.684210526
2549,kharif,ragi,50,40,20,5.68,1145.22,28.5,4,2,0.5
2550,kharif,sesamum,30,15,30,6.46,1145.22,28.5,788,311,0.394670051
2551,rabi,wheat,60,30,30,6.9,167.38,23.56,3,2,0.666666667
2552,summer,maize,80,40,20,5.38,113.7,30.26666667,2,1,0.5
2553,summer,sesamum,30,15,30,6.38,113.7,30.26666667,378,112,0.296296296
2554,whole year,potato,180,60,90,5.12,1426.3,26.73636364,261,2156,8.260536398
2555,rabi,horsegram,20,60,20,6.14,167.38,23.56,1159,345,0.297670406
2556,rabi,sesamum,30,15,30,6.36,167.38,23.56,457,58,0.126914661
2557,kharif,jute,80,40,40,5.44,1145.22,28.5,1250,1410,1.128
2558,summer,sesamum,30,15,30,6.52,113.7,30.26666667,13,2,0.153846154
2559,whole year,potato,180,60,90,5.04,1426.3,26.73636364,122,1332,10.91803279
2560,kharif,maize,80,40,20,5.62,1145.22,28.5,372,248,0.666666667
2561,kharif,ragi,50,40,20,5.42,1145.22,28.5,47,19,0.404255319
2562,rabi,wheat,60,30,30,7,167.38,23.56,37,24,0.648648649
2563,summer,ragi,50,40,20,5.56,113.7,30.26666667,9,1,0.111111111
2564,summer,sesamum,30,15,30,6.38,113.7,30.26666667,103,13,0.126213592
2565,whole year,potato,180,60,90,5.08,1426.3,26.73636364,44,340,7.727272727
2566,rabi,horsegram,20,60,20,5.88,167.38,23.56,3580,766,0.21396648
2567,rabi,sesamum,30,15,30,6.44,167.38,23.56,1512,191,0.126322751
2568,kharif,jute,80,40,40,5.4,1145.22,28.5,31550,51430,1.630110935
2569,kharif,maize,80,40,20,5.62,1145.22,28.5,14,4,0.285714286
2570,kharif,ragi,50,40,20,5.38,1145.22,28.5,69,49,0.710144928
2571,summer,horsegram,20,60,20,6.1,113.7,30.26666667,222,52,0.234234234
2572,summer,maize,80,40,20,5.54,113.7,30.26666667,7,8,1.142857143
2573,summer,ragi,50,40,20,5.36,113.7,30.26666667,2,2,1
2574,summer,sesamum,30,15,30,6.46,113.7,30.26666667,818,340,0.415647922
2575,whole year,potato,180,60,90,4.84,1426.3,26.73636364,1659,21728,13.09704641
2576,rabi,horsegram,20,60,20,6.16,167.38,23.56,6605,4352,0.658894777
2577,rabi,ragi,50,40,20,5.48,167.38,23.56,1,1,1
2578,rabi,sesamum,30,15,30,6.6,167.38,23.56,150,24,0.16
2579,kharif,maize,80,40,20,5.5,1145.22,28.5,280,272,0.971428571
2580,kharif,ragi,50,40,20,5.68,1145.22,28.5,21,5,0.238095238
2581,kharif,sesamum,30,15,30,6.32,1145.22,28.5,197,70,0.355329949
2582,rabi,wheat,60,30,30,6.9,167.38,23.56,28,27,0.964285714
2583,summer,horsegram,20,60,20,6.14,113.7,30.26666667,10,3,0.3
2584,summer,maize,80,40,20,5.6,113.7,30.26666667,5,5,1
2585,summer,sesamum,30,15,30,6.52,113.7,30.26666667,187,75,0.401069519
2586,whole year,potato,180,60,90,5.04,1426.3,26.73636364,400,2124,5.31
2587,rabi,horsegram,20,60,20,5.88,167.38,23.56,1564,457,0.292199488
2588,rabi,maize,80,40,20,5.5,167.38,23.56,1,1,1
2589,rabi,sesamum,30,15,30,6.34,167.38,23.56,2815,708,0.251509769
2590,kharif,maize,80,40,20,5.38,1145.22,28.5,112,55,0.491071429
2591,kharif,ragi,50,40,20,5.46,1145.22,28.5,61,27,0.442622951
2592,kharif,sesamum,30,15,30,6.38,1145.22,28.5,27,1,0.037037037
2593,rabi,wheat,60,30,30,6.9,167.38,23.56,11,5,0.454545455
2594,summer,maize,80,40,20,5.48,113.7,30.26666667,1,2,2
2595,summer,sesamum,30,15,30,6.52,113.7,30.26666667,264,68,0.257575758
2596,whole year,potato,180,60,90,4.96,1426.3,26.73636364,389,3890,10
2597,rabi,horsegram,20,60,20,5.96,167.38,23.56,2042,560,0.27424094
2598,rabi,sesamum,30,15,30,6.66,167.38,23.56,2413,343,0.142146705
2599,kharif,maize,80,40,20,5.58,1145.22,28.5,5211,5635,1.08136634
2600,kharif,ragi,50,40,20,5.44,1145.22,28.5,3740,2828,0.756149733
2601,rabi,wheat,60,30,30,6.7,167.38,23.56,521,563,1.080614203
2602,summer,ragi,50,40,20,5.34,113.7,30.26666667,47,38,0.808510638
2603,summer,sesamum,30,15,30,6.38,113.7,30.26666667,1882,636,0.337938363
2604,whole year,potato,180,60,90,5.18,1426.3,26.73636364,9,68,7.555555556
2605,rabi,horsegram,20,60,20,5.88,167.38,23.56,987,305,0.309017224
2606,rabi,ragi,50,40,20,5.34,167.38,23.56,23,12,0.52173913
2607,rabi,sesamum,30,15,30,6.48,167.38,23.56,17,1,0.058823529
2608,kharif,jute,80,40,40,5.68,1145.22,28.5,10,10,1
2609,kharif,maize,80,40,20,5.5,1145.22,28.5,537,586,1.091247672
2610,kharif,ragi,50,40,20,5.48,1145.22,28.5,7393,5531,0.748140133
2611,kharif,sesamum,30,15,30,6.36,1145.22,28.5,225,27,0.12
2612,rabi,wheat,60,30,30,7,167.38,23.56,53,58,1.094339623
2613,summer,horsegram,20,60,20,6,113.7,30.26666667,8,2,0.25
2614,summer,maize,80,40,20,5.4,113.7,30.26666667,16,14,0.875
2615,summer,ragi,50,40,20,5.32,113.7,30.26666667,335,281,0.83880597
2616,summer,sesamum,30,15,30,6.66,113.7,30.26666667,6026,1162,0.192831065
2617,whole year,potato,180,60,90,4.92,1426.3,26.73636364,292,2402,8.226027397
2618,rabi,horsegram,20,60,20,5.88,167.38,23.56,3715,862,0.232032301
2619,rabi,maize,80,40,20,5.46,167.38,23.56,21,2,0.095238095
2620,rabi,ragi,50,40,20,5.54,167.38,23.56,176,118,0.670454545
2621,rabi,sesamum,30,15,30,6.64,167.38,23.56,465,62,0.133333333
2622,kharif,jute,80,40,40,5.62,1145.22,28.5,110,120,1.090909091
2623,kharif,ragi,50,40,20,5.68,1145.22,28.5,4,1,0.25
2624,summer,horsegram,20,60,20,5.9,113.7,30.26666667,208,67,0.322115385
2625,summer,ragi,50,40,20,5.68,113.7,30.26666667,6,2,0.333333333
2626,summer,sesamum,30,15,30,6.36,113.7,30.26666667,96,34,0.354166667
2627,whole year,potato,180,60,90,4.92,1426.3,26.73636364,393,4859,12.36386768
2628,rabi,horsegram,20,60,20,6.06,167.38,23.56,2110,1002,0.474881517
2629,kharif,jute,80,40,40,5.54,1145.22,28.5,23190,25040,1.079775765
2630,kharif,maize,80,40,20,5.5,1145.22,28.5,18,7,0.388888889
2631,kharif,sesamum,30,15,30,6.38,1145.22,28.5,32,11,0.34375
2632,summer,horsegram,20,60,20,6.1,113.7,30.26666667,13,1,0.076923077
2633,summer,maize,80,40,20,5.42,113.7,30.26666667,17,9,0.529411765
2634,whole year,potato,180,60,90,5,1426.3,26.73636364,472,6052,12.8220339
2635,rabi,horsegram,20,60,20,6.16,167.38,23.56,2610,1115,0.427203065
2636,rabi,sesamum,30,15,30,6.32,167.38,23.56,39,7,0.179487179
2637,kharif,maize,80,40,20,5.52,1145.22,28.5,1,1,1
2638,kharif,ragi,50,40,20,5.64,1145.22,28.5,3,1,0.333333333
2639,kharif,sesamum,30,15,30,6.5,1145.22,28.5,3,1,0.333333333
2640,summer,sesamum,30,15,30,6.34,113.7,30.26666667,4,1,0.25
2641,whole year,potato,180,60,90,4.96,1426.3,26.73636364,178,1626,9.134831461
2642,rabi,horsegram,20,60,20,6.04,167.38,23.56,479,113,0.235908142
2643,rabi,sesamum,30,15,30,6.6,167.38,23.56,1189,205,0.172413793
2644,kharif,jute,80,40,40,5.68,1145.22,28.5,40,80,2
2645,kharif,maize,80,40,20,5.52,1145.22,28.5,1946,1494,0.767728674
2646,kharif,ragi,50,40,20,5.32,1145.22,28.5,1482,603,0.406882591
2647,kharif,sesamum,30,15,30,6.48,1145.22,28.5,22,5,0.227272727
2648,rabi,wheat,60,30,30,6.4,167.38,23.56,194,149,0.768041237
2649,summer,sesamum,30,15,30,6.42,113.7,30.26666667,54,15,0.277777778
2650,whole year,potato,180,60,90,4.94,1426.3,26.73636364,46,342,7.434782609
2651,rabi,horsegram,20,60,20,6.12,167.38,23.56,9423,1988,0.210973151
2652,rabi,ragi,50,40,20,5.5,167.38,23.56,1238,511,0.41276252
2653,rabi,sesamum,30,15,30,6.42,167.38,23.56,2436,268,0.11001642
2654,kharif,maize,80,40,20,5.52,1145.22,28.5,4518,4570,1.011509517
2655,kharif,ragi,50,40,20,5.62,1145.22,28.5,66,27,0.409090909
2656,rabi,wheat,60,30,30,6.11,167.38,23.56,451,457,1.013303769
2657,summer,maize,80,40,20,5.58,113.7,30.26666667,28,26,0.928571429
2658,whole year,potato,180,60,90,5.08,1426.3,26.73636364,636,3827,6.017295597
2659,rabi,horsegram,20,60,20,6.1,167.38,23.56,2045,495,0.24205379
2660,rabi,maize,80,40,20,5.62,167.38,23.56,2,2,1
2661,rabi,ragi,50,40,20,5.42,167.38,23.56,74,36,0.486486486
2662,rabi,sesamum,30,15,30,6.68,167.38,23.56,236,28,0.118644068
2663,kharif,jute,80,40,40,5.56,1145.22,28.5,18090,25200,1.393034826
2664,kharif,ragi,50,40,20,5.42,1145.22,28.5,2,1,0.5
2665,summer,ragi,50,40,20,5.64,113.7,30.26666667,2,1,0.5
2666,summer,sesamum,30,15,30,6.48,113.7,30.26666667,48,16,0.333333333
2667,whole year,potato,180,60,90,5.14,1426.3,26.73636364,572,7970,13.93356643
2668,rabi,horsegram,20,60,20,5.98,167.38,23.56,462,257,0.556277056
2669,kharif,jute,80,40,40,5.58,1145.22,28.5,13210,15830,1.198334595
2670,kharif,maize,80,40,20,5.52,1145.22,28.5,4500,2901,0.644666667
2671,kharif,ragi,50,40,20,5.6,1145.22,28.5,21,9,0.428571429
2672,kharif,sesamum,30,15,30,6.64,1145.22,28.5,102,25,0.245098039
2673,rabi,wheat,60,30,30,6.4,167.38,23.56,450,290,0.644444444
2674,summer,maize,80,40,20,5.38,113.7,30.26666667,6,8,1.333333333
2675,whole year,potato,180,60,90,4.86,1426.3,26.73636364,222,2087,9.400900901
2676,rabi,horsegram,20,60,20,6.02,167.38,23.56,3225,890,0.275968992
2677,rabi,maize,80,40,20,5.5,167.38,23.56,4,6,1.5
2678,rabi,sesamum,30,15,30,6.68,167.38,23.56,178,36,0.202247191
2679,kharif,maize,80,40,20,5.34,1145.22,28.5,10,8,0.8
2680,kharif,ragi,50,40,20,5.68,1145.22,28.5,315,140,0.444444444
2681,summer,horsegram,20,60,20,6,113.7,30.26666667,275,29,0.105454545
2682,summer,maize,80,40,20,5.44,113.7,30.26666667,101,39,0.386138614
2683,summer,ragi,50,40,20,5.44,113.7,30.26666667,27,17,0.62962963
2684,summer,sesamum,30,15,30,6.54,113.7,30.26666667,877,270,0.307867731
2685,whole year,potato,180,60,90,5.02,1426.3,26.73636364,214,2556,11.94392523
2686,rabi,horsegram,20,60,20,5.9,167.38,23.56,1333,463,0.347336834
2687,rabi,ragi,50,40,20,5.52,167.38,23.56,30,29,0.966666667
2688,rabi,sesamum,30,15,30,6.42,167.38,23.56,214,19,0.088785047
2689,kharif,jute,80,40,40,5.44,1145.22,28.5,120,140,1.166666667
2690,kharif,maize,80,40,20,5.66,1145.22,28.5,3525,3980,1.129078014
2691,kharif,ragi,50,40,20,5.62,1145.22,28.5,12176,8317,0.683065046
2692,kharif,sesamum,30,15,30,6.54,1145.22,28.5,6,1,0.166666667
2693,rabi,wheat,60,30,30,6.11,167.38,23.56,352,398,1.130681818
2694,summer,maize,80,40,20,5.48,113.7,30.26666667,384,334,0.869791667
2695,summer,ragi,50,40,20,5.36,113.7,30.26666667,29,19,0.655172414
2696,whole year,potato,180,60,90,5.04,1426.3,26.73636364,302,2718,9
2697,rabi,horsegram,20,60,20,5.96,167.38,23.56,3991,1217,0.304936106
2698,rabi,ragi,50,40,20,5.54,167.38,23.56,21779,12675,0.581982644
2699,rabi,sesamum,30,15,30,6.34,167.38,23.56,108,53,0.490740741
2700,kharif,maize,80,40,20,5.4,1145.22,28.5,1052,1082,1.02851711
2701,kharif,ragi,50,40,20,5.6,1145.22,28.5,511,245,0.479452055
